unnamed_0,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11
Number of movements ;  Total North Africa and the Middle East ;  Short-term Visitors arriving ;,Unknown,,Original,A85375639J,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Cambodia ;  Short-term Visitors arriving ;,Unknown,,Original,A85375690R,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Thailand ;  Short-term Visitors arriving ;,Unknown,,Original,A85375609V,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Vietnam ;  Short-term Visitors arriving ;,Unknown,,Original,A85375766X,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Indonesia ;  Short-term Visitors arriving ;,Unknown,,Original,A85375840K,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Malaysia ;  Short-term Visitors arriving ;,Unknown,,Original,A85375694X,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Philippines ;  Short-term Visitors arriving ;,Unknown,,Original,A85375571X,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Singapore ;  Short-term Visitors arriving ;,Unknown,,Original,A85375697F,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Other South-East Asia ;  Short-term Visitors arriving ;,Unknown,,Original,A85375643X,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Total South-East Asia ;  Short-term Visitors arriving ;,Unknown,,Original,A85375732A,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  China ;  Short-term Visitors arriving ;,Unknown,,Original,A85375770R,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Hong Kong ;  Short-term Visitors arriving ;,Unknown,,Original,A85375769F,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Taiwan ;  Short-term Visitors arriving ;,Unknown,,Original,A85375647J,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Japan ;  Short-term Visitors arriving ;,Unknown,,Original,A85375565C,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
"Number of movements ;  Korea, South ;  Short-term Visitors arriving ;",Unknown,,Original,A85375566F,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Other North-East Asia ;  Short-term Visitors arriving ;,Unknown,,Original,A85375841L,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Total North-East Asia ;  Short-term Visitors arriving ;,Unknown,,Original,A85375837W,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Bangladesh ;  Short-term Visitors arriving ;,Unknown,,Original,A85375604J,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  India ;  Short-term Visitors arriving ;,Unknown,,Original,A85375843T,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Nepal ;  Short-term Visitors arriving ;,Unknown,,Original,A85375846X,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Pakistan ;  Short-term Visitors arriving ;,Unknown,,Original,A85375606L,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Sri Lanka ;  Short-term Visitors arriving ;,Unknown,,Original,A85375567J,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Other Southern and Central Asia ;  Short-term Visitors arriving ;,Unknown,,Original,A85375644A,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Total Southern and Central Asia ;  Short-term Visitors arriving ;,Unknown,,Original,A85375836V,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Canada ;  Short-term Visitors arriving ;,Unknown,,Original,A85375695A,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  United States of America ;  Short-term Visitors arriving ;,Unknown,,Original,A85375650W,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Argentina ;  Short-term Visitors arriving ;,Unknown,,Original,A85375767A,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Brazil ;  Short-term Visitors arriving ;,Unknown,,Original,A85375651X,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Chile ;  Short-term Visitors arriving ;,Unknown,,Original,A85375648K,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Colombia ;  Short-term Visitors arriving ;,Unknown,,Original,A85375696C,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Mexico ;  Short-term Visitors arriving ;,Unknown,,Original,A85375844V,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Other Americas ;  Short-term Visitors arriving ;,Unknown,,Original,A85375733C,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Total Americas ;  Short-term Visitors arriving ;,Unknown,,Original,A85375838X,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  South Africa ;  Short-term Visitors arriving ;,Unknown,,Original,A85375811X,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Other Sub-Saharan Africa ;  Short-term Visitors arriving ;,Unknown,,Original,A85375735J,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Total Sub-Saharan Africa ;  Short-term Visitors arriving ;,Unknown,,Original,A85375564A,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
Number of movements ;  Total (Country of stay/residence) ;  Short-term Visitors arriving ;,Unknown,,Original,A85375847A,1991-01-01 00:00:00,2025-06-01 00:00:00,414,Number,FLOW,Month,1
© Commonwealth of Australia  2025,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
